Date,Still Hospitalised,Daily Discharged,Intensive Care Unit (ICU),Requires Oxygen Supplementation or Unstable,In Isolation MOH report
2020-01-23,1,0,0,0,0
2020-01-24,3,0,0,0,0
2020-01-25,4,0,0,0,0
2020-01-26,4,0,0,0,0
2020-01-27,5,0,0,0,0
2020-01-28,7,0,0,0,0
2020-01-29,10,0,0,0,0
2020-01-30,13,0,0,0,0
2020-01-31,16,0,0,0,0
2020-02-01,18,0,0,0,0
2020-02-02,18,0,0,0,0
2020-02-03,18,0,0,0,0
2020-02-04,23,1,0,0,0
2020-02-05,27,0,0,0,0
2020-02-06,29,0,1,0,0
2020-02-07,31,1,2,0,0
2020-02-08,38,0,4,0,0
2020-02-09,37,4,6,0,0
2020-02-10,38,1,7,0,0
2020-02-11,38,2,7,0,0
2020-02-12,35,6,8,0,0
2020-02-13,43,0,7,0,0
2020-02-14,50,2,6,0,0
2020-02-15,54,1,6,0,0
2020-02-16,56,1,5,0,0
2020-02-17,53,5,4,0,0
2020-02-18,52,5,4,0,0
2020-02-19,50,5,4,0,0
2020-02-20,48,3,4,0,0
2020-02-21,39,10,5,0,0
2020-02-22,40,2,5,0,0
2020-02-23,38,2,5,0,0
2020-02-24,37,2,7,0,0
2020-02-25,33,5,7,0,0
2020-02-26,31,4,7,0,0
2020-02-27,30,4,8,0,0
2020-02-28,29,3,7,0,0
2020-02-29,30,3,7,0,0
2020-03-01,32,2,7,0,0
2020-03-02,30,4,6,0,0
2020-03-03,32,0,7,0,0
2020-03-04,33,1,7,0,0
2020-03-05,36,2,7,0,0
2020-03-06,48,1,9,0,0
2020-03-07,48,8,8,0,0
2020-03-08,60,0,9,0,0
2020-03-09,67,3,10,0,0
2020-03-10,73,0,12,0,0
2020-03-11,82,3,9,0,0
2020-03-12,91,0,9,0,0
2020-03-13,103,1,11,0,0
2020-03-14,107,8,14,0,0
2020-03-15,121,0,13,0,0
2020-03-16,134,4,13,0,0
2020-03-17,152,5,14,0,0
2020-03-18,196,3,15,0,0
2020-03-19,221,7,15,0,0
2020-03-20,254,7,16,0,0
2020-03-21,290,9,14,0,0
2020-03-22,309,4,14,0,0
2020-03-23,355,8,15,0,0
2020-03-24,401,3,17,0,0
2020-03-25,404,5,17,0,64
2020-03-26,422,12,18,0,87
2020-03-27,432,11,17,0,115
2020-03-28,420,15,19,0,182
2020-03-29,423,14,19,0,206
2020-03-30,420,16,19,0,228
2020-03-31,423,12,22,0,260
2020-04-01,461,5,24,0,291
2020-04-02,464,21,23,0,315
2020-04-03,473,16,25,0,354
2020-04-04,500,15,26,0,386
2020-04-05,569,23,25,0,414
2020-04-06,571,24,25,0,454
2020-04-07,627,33,29,0,471
2020-04-08,669,29,29,0,542
2020-04-09,885,54,29,0,559
2020-04-10,875,32,32,0,734
2020-04-11,944,35,31,0,820
2020-04-12,977,32,31,0,988
2020-04-13,1159,26,29,0,1165
2020-04-14,1316,25,28,0,1316
2020-04-15,1497,41,26,0,1541
2020-04-16,1886,31,23,0,1848
2020-04-17,2113,25,22,0,2218
2020-04-18,2557,38,23,0,2683
2020-04-19,2917,26,22,0,2893
2020-04-20,3416,33,23,0,5829
2020-04-21,3588,39,27,0,6881
2020-04-22,4229,57,25,0,7651
2020-04-23,1355,36,26,0,8880
2020-04-24,1210,38,24,0,9878
2020-04-25,1195,46,24,0,10465
2020-04-26,1292,58,22,0,11241
2020-04-27,1432,35,20,0,11863
2020-04-28,1670,33,21,0,12120
2020-04-29,1693,62,22,0,12725
2020-04-30,1687,56,21,0,13202
2020-05-01,1743,24,23,0,14053
2020-05-02,1688,79,24,0,14474
2020-05-03,1608,61,22,0,15149
2020-05-04,1469,49,25,0,15812
2020-05-05,1562,62,24,0,16289
2020-05-06,1440,115,23,0,17082
2020-05-07,1354,78,19,0,17831
2020-05-08,1223,328,22,0,18402
2020-05-09,1102,256,23,0,19020
2020-05-10,1075,425,22,0,19498
2020-05-11,1070,504,24,0,19448
2020-05-12,1107,626,20,0,19667
2020-05-13,1012,958,19,0,19479
2020-05-14,1047,1164,20,0,19032
2020-05-15,1099,1275,18,0,18498
2020-05-16,1086,1094,16,0,17881
2020-05-17,1185,998,16,0,17466
